order_id,ts,symbol,pnl,strategy
PAPER-119,2025-09-22 12:00:00+00:00,EURUSD,0.0,default
PAPER-120,2025-09-23 21:00:00+00:00,EURUSD,-32.65363119999793,default
PAPER-121,2025-09-23 22:00:00+00:00,EURUSD,0.0,default
PAPER-122,2025-09-24 08:00:00+00:00,EURUSD,-50.72352901999908,default
PAPER-123,2025-09-24 08:00:00+00:00,EURUSD,0.0,default
PAPER-124,2025-09-24 21:00:00+00:00,EURUSD,-33.12347721999924,default
PAPER-125,2025-09-24 22:00:00+00:00,EURUSD,0.0,default
PAPER-126,2025-10-05 21:00:00+00:00,EURUSD,16.276543660000204,default
PAPER-127,2025-10-05 22:00:00+00:00,EURUSD,0.0,default
PAPER-128,2025-10-06 07:00:00+00:00,EURUSD,-50.72333055999908,default
PAPER-129,2025-10-06 07:00:00+00:00,EURUSD,0.0,default
PAPER-130,2025-10-06 08:00:00+00:00,EURUSD,8.536665460001899,default
PAPER-131,2025-10-06 09:00:00+00:00,EURUSD,0.0,default
PAPER-132,2025-10-06 14:00:00+00:00,EURUSD,-50.72343373999908,default
PAPER-133,2025-10-06 14:00:00+00:00,EURUSD,0.0,default
PAPER-134,2025-10-16 10:00:00+00:00,EURUSD,61.8666884,default
PAPER-135,2025-10-16 11:00:00+00:00,EURUSD,0.0,default
PAPER-136,2025-10-21 10:00:00+00:00,EURUSD,-50.72320923999908,default
PAPER-137,2025-10-21 10:00:00+00:00,EURUSD,0.0,default
PAPER-138,2025-10-22 09:00:00+00:00,EURUSD,-26.17318652000034,default
PAPER-139,2025-10-22 10:00:00+00:00,EURUSD,0.0,default
PAPER-140,2025-10-24 12:00:00+00:00,EURUSD,-50.72326973999908,default
PAPER-141,2025-10-24 12:00:00+00:00,EURUSD,0.0,default
PAPER-142,2025-10-28 11:00:00+00:00,EURUSD,-25.49331986000077,default
PAPER-143,2025-10-28 12:00:00+00:00,EURUSD,0.0,default
PAPER-144,2025-10-29 18:00:00+00:00,EURUSD,-50.72317771999908,default
PAPER-145,2025-10-29 19:00:00+00:00,EURUSD,0.0,default
PAPER-146,2025-10-30 12:00:00+00:00,EURUSD,-50.72310325999908,default
PAPER-147,2025-10-30 12:00:00+00:00,EURUSD,0.0,default
PAPER-148,2025-10-30 18:00:00+00:00,EURUSD,15.596865379998412,default
PAPER-149,2025-10-30 19:00:00+00:00,EURUSD,0.0,default
PAPER-150,2025-11-05 10:00:00+00:00,EURUSD,78.20703067999914,default
