order_id,ts,symbol,pnl,strategy,adapter_latency_ms
PAPER-569,2025-05-28 03:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-570,2025-05-28 05:00:00+00:00,USDJPY,-25.11311202959082,default,25.0
PAPER-571,2025-05-28 05:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-572,2025-05-28 13:00:00+00:00,USDJPY,-27.099851864396943,default,25.0
PAPER-573,2025-05-28 13:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-574,2025-05-28 23:00:00+00:00,USDJPY,-37.58778433567328,default,25.0
PAPER-575,2025-05-28 23:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-576,2025-05-29 01:00:00+00:00,USDJPY,-29.49440448188781,default,25.0
PAPER-577,2025-05-29 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-578,2025-05-29 12:00:00+00:00,USDJPY,66.66465443991129,default,25.0
PAPER-579,2025-05-29 15:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-580,2025-05-30 00:00:00+00:00,USDJPY,-35.50910119728914,default,25.0
PAPER-581,2025-05-30 00:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-582,2025-06-02 01:00:00+00:00,USDJPY,-29.633991695526923,default,25.0
PAPER-583,2025-06-02 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-584,2025-06-02 07:00:00+00:00,USDJPY,-28.84935061563139,default,25.0
PAPER-585,2025-06-02 07:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-586,2025-06-02 14:00:00+00:00,USDJPY,-22.971101354798233,default,25.0
PAPER-587,2025-06-02 14:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-588,2025-06-03 12:00:00+00:00,USDJPY,48.261259886300145,default,25.0
PAPER-589,2025-06-03 14:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-590,2025-06-04 01:00:00+00:00,USDJPY,-30.551870735866135,default,25.0
PAPER-591,2025-06-04 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-592,2025-06-04 04:00:00+00:00,USDJPY,-28.07978225054111,default,25.0
PAPER-593,2025-06-04 04:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-594,2025-06-04 14:00:00+00:00,USDJPY,51.424282298506874,default,25.0
PAPER-595,2025-06-04 16:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-596,2025-06-05 14:00:00+00:00,USDJPY,56.09594041253977,default,25.0
PAPER-597,2025-06-06 05:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-598,2025-06-06 12:00:00+00:00,USDJPY,-24.220314812119422,default,25.0
PAPER-599,2025-06-06 12:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-600,2025-06-06 13:00:00+00:00,USDJPY,-24.256649025829365,default,25.0
PAPER-601,2025-06-06 13:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-602,2025-06-09 07:00:00+00:00,USDJPY,51.476561528060145,default,25.0
PAPER-603,2025-06-10 01:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-604,2025-06-10 02:00:00+00:00,USDJPY,-20.234652870362837,default,25.0
PAPER-605,2025-06-10 02:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-606,2025-06-10 05:00:00+00:00,USDJPY,24.881948577475164,default,25.0
PAPER-607,2025-06-10 15:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-608,2025-06-11 11:00:00+00:00,USDJPY,-24.70875985325386,default,25.0
PAPER-609,2025-06-11 11:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-610,2025-06-11 12:00:00+00:00,USDJPY,42.45381061479809,default,25.0
PAPER-611,2025-06-11 13:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-612,2025-06-11 14:00:00+00:00,USDJPY,15.931716708559687,default,25.0
PAPER-613,2025-06-11 15:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-614,2025-06-12 00:00:00+00:00,USDJPY,-32.836869765580424,default,25.0
PAPER-615,2025-06-12 00:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-616,2025-06-12 10:00:00+00:00,USDJPY,-34.47385698353027,default,25.0
PAPER-617,2025-06-12 10:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-618,2025-06-12 23:00:00+00:00,USDJPY,-29.132502806957696,default,25.0
PAPER-619,2025-06-12 23:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-620,2025-06-13 08:00:00+00:00,USDJPY,54.41782987359041,default,25.0
PAPER-621,2025-06-15 21:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-622,2025-06-16 13:00:00+00:00,USDJPY,39.61370116189276,default,25.0
PAPER-623,2025-06-16 17:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-624,2025-06-16 19:00:00+00:00,USDJPY,-26.52161203130363,default,25.0
PAPER-625,2025-06-16 19:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-626,2025-06-17 14:00:00+00:00,USDJPY,-26.337096669961028,default,25.0
PAPER-627,2025-06-17 14:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-628,2025-06-18 10:00:00+00:00,USDJPY,24.00800505416553,default,25.0
PAPER-629,2025-06-18 15:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-630,2025-06-18 18:00:00+00:00,USDJPY,30.52477256900041,default,25.0
PAPER-631,2025-06-19 06:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-632,2025-06-19 10:00:00+00:00,USDJPY,-24.59086824098757,default,25.0
PAPER-633,2025-06-19 10:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-634,2025-06-19 23:00:00+00:00,USDJPY,31.720785877070508,default,25.0
PAPER-635,2025-06-20 11:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-636,2025-06-20 14:00:00+00:00,USDJPY,-17.5586955735991,default,25.0
PAPER-637,2025-06-20 14:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-638,2025-06-20 19:00:00+00:00,USDJPY,-18.280774810002953,default,25.0
PAPER-639,2025-06-20 19:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-640,2025-06-22 21:00:00+00:00,USDJPY,-18.904967526830184,default,25.0
PAPER-641,2025-06-22 21:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-642,2025-06-23 04:00:00+00:00,USDJPY,-22.13310217109199,default,25.0
PAPER-643,2025-06-23 04:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-644,2025-06-23 06:00:00+00:00,USDJPY,-27.573589684377684,default,25.0
PAPER-645,2025-06-23 06:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-646,2025-06-23 08:00:00+00:00,USDJPY,-30.075782622719007,default,25.0
PAPER-647,2025-06-23 08:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-648,2025-06-23 14:00:00+00:00,USDJPY,64.17141705231764,default,25.0
PAPER-649,2025-06-24 02:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-650,2025-06-24 07:00:00+00:00,USDJPY,-33.607135085591544,default,25.0
PAPER-651,2025-06-24 07:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-652,2025-06-24 09:00:00+00:00,USDJPY,-27.256488269680055,default,25.0
