time,open,high,low,close,volume
2025-02-25 08:00:00+00:00,94.606,94.823,94.539,94.733,11783
2025-02-25 09:00:00+00:00,94.731,94.928,94.72,94.73,10352
2025-02-25 10:00:00+00:00,94.731,94.834,94.7,94.745,9728
2025-02-25 11:00:00+00:00,94.746,95.067,94.745,95.055,8255
2025-02-25 12:00:00+00:00,95.056,95.056,94.82,94.952,9381
2025-02-25 13:00:00+00:00,94.951,95.072,94.827,94.827,11725
2025-02-25 14:00:00+00:00,94.829,94.867,94.518,94.55,12034
2025-02-25 15:00:00+00:00,94.55,94.551,94.016,94.408,17974
2025-02-25 16:00:00+00:00,94.407,94.448,94.134,94.412,14421
2025-02-25 17:00:00+00:00,94.411,94.435,94.218,94.434,8693
2025-02-25 18:00:00+00:00,94.434,94.693,94.434,94.587,10880
2025-02-25 19:00:00+00:00,94.584,94.606,94.466,94.55,8940
2025-02-25 20:00:00+00:00,94.546,94.626,94.446,94.478,9454
2025-02-25 21:00:00+00:00,94.475,94.574,94.466,94.545,7553
2025-02-25 22:00:00+00:00,94.534,94.688,94.513,94.679,1058
2025-02-25 23:00:00+00:00,94.684,94.712,94.556,94.671,2884
2025-02-26 00:00:00+00:00,94.67,94.692,94.395,94.452,6950
2025-02-26 01:00:00+00:00,94.446,94.587,94.244,94.578,10603
2025-02-26 02:00:00+00:00,94.586,94.653,94.432,94.626,9305
2025-02-26 03:00:00+00:00,94.624,94.692,94.468,94.518,7782
2025-02-26 04:00:00+00:00,94.518,94.614,94.457,94.548,5770
2025-02-26 05:00:00+00:00,94.548,94.662,94.474,94.495,6873
2025-02-26 06:00:00+00:00,94.496,94.744,94.483,94.68,7419
2025-02-26 07:00:00+00:00,94.684,94.721,94.558,94.608,9033
2025-02-26 08:00:00+00:00,94.606,94.67,94.456,94.509,8048
2025-02-26 09:00:00+00:00,94.512,94.554,94.446,94.454,8600
2025-02-26 10:00:00+00:00,94.452,94.478,94.356,94.462,8019
2025-02-26 11:00:00+00:00,94.462,94.478,94.385,94.422,7853
2025-02-26 12:00:00+00:00,94.421,94.455,94.275,94.356,9717
2025-02-26 13:00:00+00:00,94.357,94.398,94.256,94.287,10607
2025-02-26 14:00:00+00:00,94.289,94.466,94.08,94.39,12610
2025-02-26 15:00:00+00:00,94.388,94.556,94.362,94.42,13154
2025-02-26 16:00:00+00:00,94.423,94.478,94.264,94.279,9409
2025-02-26 17:00:00+00:00,94.28,94.449,94.164,94.204,12576
2025-02-26 18:00:00+00:00,94.2,94.25,93.852,93.934,7932
2025-02-26 19:00:00+00:00,93.933,94.009,93.806,93.893,8335
2025-02-26 20:00:00+00:00,93.896,93.939,93.779,93.9,7108
2025-02-26 21:00:00+00:00,93.901,94.034,93.856,94.003,4876
2025-02-26 22:00:00+00:00,93.956,94.082,93.956,93.986,628
2025-02-26 23:00:00+00:00,93.975,94.014,93.883,93.932,3389
2025-02-27 00:00:00+00:00,93.935,94.026,93.808,93.97,10431
2025-02-27 01:00:00+00:00,93.974,94.22,93.908,94.198,13473
2025-02-27 02:00:00+00:00,94.202,94.222,94.015,94.064,13307
2025-02-27 03:00:00+00:00,94.066,94.166,93.898,93.906,9584
2025-02-27 04:00:00+00:00,93.906,93.944,93.713,93.754,8326
2025-02-27 05:00:00+00:00,93.756,93.974,93.75,93.968,9748
2025-02-27 06:00:00+00:00,93.968,94.046,93.938,93.98,10675
2025-02-27 07:00:00+00:00,93.98,94.082,93.908,94.004,8141
2025-02-27 08:00:00+00:00,94.002,94.329,93.947,94.318,10755
2025-02-27 09:00:00+00:00,94.322,94.516,94.262,94.434,9592
2025-02-27 10:00:00+00:00,94.438,94.484,94.346,94.398,8067
2025-02-27 11:00:00+00:00,94.402,94.452,94.303,94.362,8152
2025-02-27 12:00:00+00:00,94.362,94.372,94.188,94.21,10567
2025-02-27 13:00:00+00:00,94.21,94.244,93.752,93.832,15298
2025-02-27 14:00:00+00:00,93.832,94.032,93.587,93.642,16704
